nome;email;idade;cidade
User 289;user289@email.com;62;Fortaleza
User 290;user290@email.com;45;Rio de Janeiro
User 291;user291@email.com;45;Fortaleza
User 292;user292@email.com;21;Rio de Janeiro
User 293;user293@email.com;58;Fortaleza
User 294;user294@email.com;54;Rio de Janeiro
User 295;user295@email.com;57;Rio de Janeiro
User 296;user296@email.com;40;Fortaleza
User 297;user297@email.com;49;Fortaleza
User 298;user298@email.com;62;Fortaleza
User 299;user299@email.com;42;Fortaleza
User 300;user300@email.com;64;Fortaleza
User 301;user301@email.com;24;Rio de Janeiro
User 302;user302@email.com;24;São Paulo
User 303;user303@email.com;19;São Paulo
User 304;user304@email.com;22;Rio de Janeiro
User 305;user305@email.com;51;Fortaleza
User 306;user306@email.com;51;Rio de Janeiro
User 307;user307@email.com;25;São Paulo
User 308;user308@email.com;29;Fortaleza
User 309;user309@email.com;45;São Paulo
User 310;user310@email.com;20;Rio de Janeiro
User 311;user311@email.com;20;Rio de Janeiro
User 312;user312@email.com;20;Fortaleza
User 313;user313@email.com;54;São Paulo
User 314;user314@email.com;47;São Paulo
User 315;user315@email.com;40;São Paulo
User 316;user316@email.com;25;São Paulo
User 317;user317@email.com;70;Rio de Janeiro
User 318;user318@email.com;63;São Paulo
User 319;user319@email.com;58;São Paulo
User 320;user320@email.com;37;Rio de Janeiro
User 321;user321@email.com;28;Rio de Janeiro
User 322;user322@email.com;22;São Paulo
User 323;user323@email.com;57;Rio de Janeiro
User 324;user324@email.com;60;Fortaleza
User 325;user325@email.com;65;São Paulo
User 326;user326@email.com;34;Rio de Janeiro
User 327;user327@email.com;38;Fortaleza
User 328;user328@email.com;50;Rio de Janeiro
User 329;user329@email.com;64;Rio de Janeiro
User 330;user330@email.com;51;São Paulo
User 331;user331@email.com;31;Fortaleza
User 332;user332@email.com;35;São Paulo
User 333;user333@email.com;62;São Paulo
User 334;user334@email.com;21;São Paulo
User 335;user335@email.com;32;Fortaleza
User 336;user336@email.com;38;Rio de Janeiro
User 337;user337@email.com;67;Fortaleza
User 338;user338@email.com;26;São Paulo
User 339;user339@email.com;42;Fortaleza
User 340;user340@email.com;64;Fortaleza
User 341;user341@email.com;33;Fortaleza
User 342;user342@email.com;18;Rio de Janeiro
User 343;user343@email.com;34;Rio de Janeiro
User 344;user344@email.com;70;Fortaleza
User 345;user345@email.com;32;Rio de Janeiro
User 346;user346@email.com;37;Fortaleza
User 347;user347@email.com;42;São Paulo
User 348;user348@email.com;35;Rio de Janeiro
User 349;user349@email.com;54;Fortaleza
User 350;user350@email.com;46;Fortaleza
User 351;user351@email.com;59;São Paulo
User 352;user352@email.com;38;Rio de Janeiro
User 353;user353@email.com;27;Fortaleza
User 354;user354@email.com;65;Fortaleza
User 355;user355@email.com;64;São Paulo
User 356;user356@email.com;65;São Paulo
User 357;user357@email.com;18;São Paulo
User 358;user358@email.com;39;Rio de Janeiro
User 359;user359@email.com;67;São Paulo
User 360;user360@email.com;51;São Paulo
User 361;user361@email.com;42;São Paulo
User 362;user362@email.com;49;Fortaleza
User 363;user363@email.com;59;Fortaleza
User 364;user364@email.com;33;Rio de Janeiro
User 365;user365@email.com;25;Rio de Janeiro
User 366;user366@email.com;66;São Paulo
User 367;user367@email.com;36;São Paulo
User 368;user368@email.com;23;São Paulo
User 369;user369@email.com;30;São Paulo
User 370;user370@email.com;34;São Paulo
User 371;user371@email.com;28;São Paulo
User 372;user372@email.com;37;Fortaleza
User 373;user373@email.com;28;Rio de Janeiro
User 374;user374@email.com;69;Rio de Janeiro
User 375;user375@email.com;60;São Paulo
User 376;user376@email.com;50;Fortaleza
User 377;user377@email.com;44;Fortaleza
User 378;user378@email.com;54;Fortaleza
User 379;user379@email.com;36;Rio de Janeiro
User 380;user380@email.com;27;Fortaleza
User 381;user381@email.com;55;Fortaleza
User 382;user382@email.com;28;Rio de Janeiro
User 383;user383@email.com;59;Fortaleza
User 384;user384@email.com;27;São Paulo
User 385;user385@email.com;45;Rio de Janeiro
User 386;user386@email.com;48;Rio de Janeiro
User 387;user387@email.com;36;São Paulo
User 388;user388@email.com;20;Fortaleza
User 389;user389@email.com;51;Fortaleza
User 390;user390@email.com;19;Fortaleza
User 391;user391@email.com;53;Rio de Janeiro
User 392;user392@email.com;45;Fortaleza
User 393;user393@email.com;63;Rio de Janeiro
User 394;user394@email.com;31;Rio de Janeiro
User 395;user395@email.com;43;Rio de Janeiro
User 396;user396@email.com;61;Rio de Janeiro
User 397;user397@email.com;24;Rio de Janeiro
User 398;user398@email.com;37;Fortaleza
User 399;user399@email.com;63;São Paulo
User 400;user400@email.com;33;Fortaleza
User 401;user401@email.com;46;São Paulo
User 402;user402@email.com;63;Rio de Janeiro
User 403;user403@email.com;34;Fortaleza
User 404;user404@email.com;20;São Paulo
User 405;user405@email.com;42;Fortaleza
User 406;user406@email.com;66;São Paulo
User 407;user407@email.com;61;Fortaleza
User 408;user408@email.com;43;Rio de Janeiro
User 409;user409@email.com;59;São Paulo
User 410;user410@email.com;34;Fortaleza
User 411;user411@email.com;53;Fortaleza
User 412;user412@email.com;50;Fortaleza
User 413;user413@email.com;26;Fortaleza
User 414;user414@email.com;38;São Paulo
User 415;user415@email.com;69;Rio de Janeiro
User 416;user416@email.com;49;São Paulo
User 417;user417@email.com;33;Fortaleza
User 418;user418@email.com;50;São Paulo
User 419;user419@email.com;31;Fortaleza
User 420;user420@email.com;21;Rio de Janeiro
User 421;user421@email.com;54;Rio de Janeiro
User 422;user422@email.com;45;São Paulo
User 423;user423@email.com;22;São Paulo
User 424;user424@email.com;41;Fortaleza
User 425;user425@email.com;36;São Paulo
User 426;user426@email.com;45;São Paulo
User 427;user427@email.com;22;Fortaleza
User 428;user428@email.com;24;Rio de Janeiro
User 429;user429@email.com;23;São Paulo
User 430;user430@email.com;43;Rio de Janeiro
User 431;user431@email.com;39;Fortaleza
User 432;user432@email.com;55;São Paulo
User 433;user433@email.com;65;Fortaleza
User 434;user434@email.com;45;Rio de Janeiro
User 435;user435@email.com;22;Fortaleza
User 436;user436@email.com;37;Fortaleza
User 437;user437@email.com;22;São Paulo
User 438;user438@email.com;59;Fortaleza
User 439;user439@email.com;60;Rio de Janeiro
User 440;user440@email.com;52;São Paulo
User 441;user441@email.com;40;Fortaleza
User 442;user442@email.com;36;São Paulo
User 443;user443@email.com;59;Fortaleza
User 444;user444@email.com;43;Fortaleza
User 445;user445@email.com;45;São Paulo
User 446;user446@email.com;55;Fortaleza
User 447;user447@email.com;40;Fortaleza
User 448;user448@email.com;22;Rio de Janeiro
User 449;user449@email.com;26;Rio de Janeiro
User 450;user450@email.com;58;São Paulo
User 451;user451@email.com;20;São Paulo
User 452;user452@email.com;61;Rio de Janeiro
User 453;user453@email.com;21;Rio de Janeiro
User 454;user454@email.com;57;São Paulo
User 455;user455@email.com;29;Rio de Janeiro
User 456;user456@email.com;62;Fortaleza
User 457;user457@email.com;28;Fortaleza
User 458;user458@email.com;70;São Paulo
User 459;user459@email.com;30;Rio de Janeiro
User 460;user460@email.com;52;São Paulo
User 461;user461@email.com;66;Fortaleza
User 462;user462@email.com;31;Rio de Janeiro
User 463;user463@email.com;46;Rio de Janeiro
User 464;user464@email.com;46;Rio de Janeiro
User 465;user465@email.com;53;Fortaleza
User 466;user466@email.com;65;São Paulo
User 467;user467@email.com;19;Fortaleza
User 468;user468@email.com;28;Fortaleza
User 469;user469@email.com;27;Rio de Janeiro
User 470;user470@email.com;39;São Paulo
User 471;user471@email.com;25;Rio de Janeiro
User 472;user472@email.com;47;Rio de Janeiro
User 473;user473@email.com;45;Rio de Janeiro
User 474;user474@email.com;34;Rio de Janeiro
User 475;user475@email.com;60;Fortaleza
User 476;user476@email.com;46;Rio de Janeiro
User 477;user477@email.com;33;São Paulo
User 478;user478@email.com;46;Rio de Janeiro
User 479;user479@email.com;57;São Paulo
User 480;user480@email.com;48;Rio de Janeiro
User 481;user481@email.com;36;Rio de Janeiro
User 482;user482@email.com;25;Rio de Janeiro
User 483;user483@email.com;26;Rio de Janeiro
User 484;user484@email.com;63;Rio de Janeiro
User 485;user485@email.com;50;Fortaleza
User 486;user486@email.com;62;Rio de Janeiro
User 487;user487@email.com;63;Rio de Janeiro
User 488;user488@email.com;64;São Paulo
User 489;user489@email.com;61;Fortaleza
User 490;user490@email.com;51;São Paulo
User 491;user491@email.com;38;Fortaleza
User 492;user492@email.com;46;Rio de Janeiro
User 493;user493@email.com;34;São Paulo
User 494;user494@email.com;29;Fortaleza
User 495;user495@email.com;46;São Paulo
User 496;user496@email.com;61;Fortaleza
User 497;user497@email.com;60;São Paulo
User 498;user498@email.com;47;São Paulo
User 499;user499@email.com;68;São Paulo
User 500;user500@email.com;48;Fortaleza
User 501;user501@email.com;23;Fortaleza
User 502;user502@email.com;31;Rio de Janeiro
User 503;user503@email.com;39;São Paulo
User 504;user504@email.com;45;Fortaleza
User 505;user505@email.com;47;São Paulo
User 506;user506@email.com;53;Rio de Janeiro
User 507;user507@email.com;19;Fortaleza
User 508;user508@email.com;46;Rio de Janeiro
User 509;user509@email.com;24;Rio de Janeiro
User 510;user510@email.com;34;Fortaleza
User 511;user511@email.com;21;São Paulo
User 512;user512@email.com;20;Rio de Janeiro
User 513;user513@email.com;22;Fortaleza
User 514;user514@email.com;24;Fortaleza
User 515;user515@email.com;38;Fortaleza
User 516;user516@email.com;39;São Paulo
User 517;user517@email.com;26;Rio de Janeiro
User 518;user518@email.com;54;Fortaleza
User 519;user519@email.com;27;Rio de Janeiro
User 520;user520@email.com;24;São Paulo
User 521;user521@email.com;57;Fortaleza
User 522;user522@email.com;61;Fortaleza
User 523;user523@email.com;60;São Paulo
User 524;user524@email.com;40;Fortaleza
User 525;user525@email.com;47;Fortaleza
User 526;user526@email.com;37;Fortaleza
User 527;user527@email.com;27;Rio de Janeiro
User 528;user528@email.com;20;Fortaleza
User 529;user529@email.com;60;Fortaleza
User 530;user530@email.com;27;Rio de Janeiro
User 531;user531@email.com;32;São Paulo
User 532;user532@email.com;48;Rio de Janeiro
User 533;user533@email.com;19;São Paulo
User 534;user534@email.com;26;Rio de Janeiro
User 535;user535@email.com;29;Fortaleza
User 536;user536@email.com;34;São Paulo
User 537;user537@email.com;56;São Paulo
User 538;user538@email.com;43;Rio de Janeiro
User 539;user539@email.com;44;São Paulo
User 540;user540@email.com;27;São Paulo
User 541;user541@email.com;53;São Paulo
User 542;user542@email.com;58;Fortaleza
User 543;user543@email.com;45;Fortaleza
User 544;user544@email.com;26;Fortaleza
User 545;user545@email.com;45;Fortaleza
User 546;user546@email.com;25;Rio de Janeiro
User 547;user547@email.com;42;Fortaleza
User 548;user548@email.com;65;Rio de Janeiro
User 549;user549@email.com;55;São Paulo
User 550;user550@email.com;70;São Paulo
User 551;user551@email.com;18;Rio de Janeiro
User 552;user552@email.com;42;Fortaleza
User 553;user553@email.com;44;Fortaleza
User 554;user554@email.com;41;Fortaleza
User 555;user555@email.com;70;Fortaleza
User 556;user556@email.com;39;Rio de Janeiro
User 557;user557@email.com;24;Rio de Janeiro
User 558;user558@email.com;64;Fortaleza
User 559;user559@email.com;62;Fortaleza
User 560;user560@email.com;43;Fortaleza
User 561;user561@email.com;22;Rio de Janeiro
User 562;user562@email.com;49;São Paulo
User 563;user563@email.com;25;Fortaleza
User 564;user564@email.com;63;Fortaleza
User 565;user565@email.com;40;São Paulo
User 566;user566@email.com;30;Rio de Janeiro
User 567;user567@email.com;53;Rio de Janeiro
User 568;user568@email.com;38;São Paulo
User 569;user569@email.com;38;São Paulo
User 570;user570@email.com;28;São Paulo
User 571;user571@email.com;45;São Paulo
User 572;user572@email.com;49;Fortaleza
User 573;user573@email.com;66;Rio de Janeiro
User 574;user574@email.com;55;Rio de Janeiro
User 575;user575@email.com;39;Fortaleza
User 576;user576@email.com;66;São Paulo
User 577;user577@email.com;59;Rio de Janeiro
User 578;user578@email.com;60;São Paulo
User 579;user579@email.com;44;Fortaleza
User 580;user580@email.com;43;Fortaleza
User 581;user581@email.com;41;Rio de Janeiro
User 582;user582@email.com;63;São Paulo
User 583;user583@email.com;47;Fortaleza
User 584;user584@email.com;28;Rio de Janeiro
User 585;user585@email.com;50;São Paulo
User 586;user586@email.com;35;São Paulo
User 587;user587@email.com;26;Rio de Janeiro
User 588;user588@email.com;25;São Paulo
User 589;user589@email.com;32;Rio de Janeiro
User 590;user590@email.com;52;Rio de Janeiro
User 591;user591@email.com;45;Rio de Janeiro
User 592;user592@email.com;22;São Paulo
User 593;user593@email.com;66;Fortaleza
User 594;user594@email.com;33;Rio de Janeiro
User 595;user595@email.com;51;Rio de Janeiro
User 596;user596@email.com;22;Fortaleza
User 597;user597@email.com;27;São Paulo
User 598;user598@email.com;27;Fortaleza
User 599;user599@email.com;70;São Paulo
User 600;user600@email.com;44;Fortaleza
User 601;user601@email.com;25;São Paulo
User 602;user602@email.com;25;Fortaleza
User 603;user603@email.com;28;São Paulo
User 604;user604@email.com;36;Fortaleza
User 605;user605@email.com;51;Rio de Janeiro
User 606;user606@email.com;40;Fortaleza
User 607;user607@email.com;30;São Paulo
User 608;user608@email.com;66;São Paulo
User 609;user609@email.com;51;Rio de Janeiro
User 610;user610@email.com;27;Rio de Janeiro
User 611;user611@email.com;46;Fortaleza
User 612;user612@email.com;66;Fortaleza
User 613;user613@email.com;70;Rio de Janeiro
User 614;user614@email.com;61;São Paulo
User 615;user615@email.com;60;São Paulo
User 616;user616@email.com;51;Rio de Janeiro
User 617;user617@email.com;40;Rio de Janeiro
User 618;user618@email.com;59;Rio de Janeiro
User 619;user619@email.com;64;Rio de Janeiro
User 620;user620@email.com;65;São Paulo
User 621;user621@email.com;32;Fortaleza
User 622;user622@email.com;29;São Paulo
User 623;user623@email.com;67;Fortaleza
User 624;user624@email.com;41;São Paulo
User 625;user625@email.com;48;São Paulo
User 626;user626@email.com;38;São Paulo
User 627;user627@email.com;59;São Paulo
User 628;user628@email.com;36;São Paulo
User 629;user629@email.com;33;São Paulo
User 630;user630@email.com;27;Rio de Janeiro
User 631;user631@email.com;31;São Paulo
User 632;user632@email.com;69;São Paulo
User 633;user633@email.com;56;Fortaleza
User 634;user634@email.com;55;Rio de Janeiro
User 635;user635@email.com;60;Rio de Janeiro
User 636;user636@email.com;66;Fortaleza
User 637;user637@email.com;30;São Paulo
User 638;user638@email.com;61;Fortaleza
User 639;user639@email.com;57;São Paulo
User 640;user640@email.com;31;São Paulo
User 641;user641@email.com;62;Fortaleza
User 642;user642@email.com;62;São Paulo
User 643;user643@email.com;56;Fortaleza
User 644;user644@email.com;32;Fortaleza
User 645;user645@email.com;52;São Paulo
User 646;user646@email.com;43;São Paulo
User 647;user647@email.com;25;Fortaleza
User 648;user648@email.com;46;Rio de Janeiro
User 649;user649@email.com;64;Fortaleza
User 650;user650@email.com;65;Rio de Janeiro
User 651;user651@email.com;24;Fortaleza
User 652;user652@email.com;47;Fortaleza
User 653;user653@email.com;39;Rio de Janeiro
User 654;user654@email.com;56;Rio de Janeiro
User 655;user655@email.com;29;Fortaleza
User 656;user656@email.com;34;São Paulo
User 657;user657@email.com;37;Fortaleza
User 658;user658@email.com;40;Rio de Janeiro
User 659;user659@email.com;47;Rio de Janeiro
User 660;user660@email.com;37;Fortaleza
User 661;user661@email.com;39;São Paulo
User 662;user662@email.com;32;Fortaleza
User 663;user663@email.com;59;São Paulo
User 664;user664@email.com;70;Fortaleza
User 665;user665@email.com;43;São Paulo
User 666;user666@email.com;21;Rio de Janeiro
User 667;user667@email.com;41;São Paulo
User 668;user668@email.com;20;Rio de Janeiro
User 669;user669@email.com;58;Rio de Janeiro
User 670;user670@email.com;57;São Paulo
User 671;user671@email.com;34;Rio de Janeiro
User 672;user672@email.com;41;Fortaleza
User 673;user673@email.com;56;Rio de Janeiro
User 674;user674@email.com;53;São Paulo
User 675;user675@email.com;47;Fortaleza
User 676;user676@email.com;47;Rio de Janeiro
